marker,university,spanish_level,gender,mother_tongue,n,tokens_total,per_1k,spanish_level_bucket
entonces,Univerza v Ljubljani,C1,M,mk,3,459,6.5359477124183005,upper
entonces,Univerza v Ljubljani,C2,F,es,23,2942,7.817811012916383,upper
entonces,Univerza v Ljubljani,C2,M,es,5,1217,4.108463434675431,upper
entonces,Vrije Universiteit Brussel,A2,M,fr,1,337,2.9673590504451037,lower
entonces,Vrije Universiteit Brussel,B1,M,nl,2,1582,1.2642225031605563,lower
entonces,Vrije Universiteit Brussel,B2,F,fr,3,1468,2.043596730245232,upper
entonces,Vrije Universiteit Brussel,B2,F,nl,13,2033,6.394490900147566,upper
entonces,Vrije Universiteit Brussel,C1,F,es,2,429,4.662004662004662,upper
entonces,Vrije Universiteit Brussel,C1,F,fr,6,969,6.191950464396285,upper
entonces,Vrije Universiteit Brussel,C2,F,es,22,4875,4.512820512820513,upper
entonces,Vrije Universiteit Brussel,C2,M,es,19,2277,8.344312692138779,upper
es decir,Univerza v Ljubljani,B2,F,sl,2,17595,0.11366865586814436,upper
es decir,Univerza v Ljubljani,C1,F,sl,3,13120,0.22865853658536586,upper
